Symbols,Genes ,fold d/h,GF_1,GF_2,GF_3,GF_4,GF_5,GF_7,GF_8,SPF_1,SPF_2,SPF_3,SPF_4,SPF_6,SPF_7,SPF_8,t-test
MTX2,NM_016804,0.5,17,13,10,11,16,10,7,26,20,25,26,27,16,28,0.000108656707647
LOC100499420,NR_036469,0.5,18,7,13,16,20,14,35,35,31,22,36,32,54,36,0.003816338063526
RPS4X,NM_009094,0.5,55,25,22,19,24,46,76,87,40,68,83,77,60,119,0.00942373446085
DMTF1,NM_011806,0.498062015503876,45,51,17,66,20,28,30,81,128,54,55,64,58,76,0.009286284363358
CLCC1,NM_001177770,0.49748743718593,12,23,17,9,11,5,22,40,18,31,36,33,22,19,0.005029356785348
JARID2,NM_021878,0.496487119437939,31,30,29,32,34,24,32,57,67,59,57,59,55,73,1.06781289257666E-07
CCDC157,NM_001164620,0.4921875,10,8,15,3,15,3,9,18,19,25,18,10,22,16,0.003645794839389
EAF1,NM_028932,0.491891891891892,15,8,17,2,15,19,15,25,40,27,33,15,26,19,0.004553948035808
ARHGEF6,NM_152801,0.491525423728814,24,15,12,13,15,3,5,28,31,14,25,20,29,30,0.00336949770891
CDC42,NM_009861,0.490962962962963,297,108,134,236,248,271,363,496,442,433,453,600,423,528,7.20074408304363E-05
SON,NM_019973,0.49070887818307,90,89,106,113,60,153,102,180,202,184,212,220,209,246,5.1956082071025E-06
